month,nrebate
1959,0
1959.083333,0
1959.166667,0
1959.25,0
1959.333333,0
1959.416667,0
1959.5,0
1959.583333,0
1959.666667,0
1959.75,0
1959.833333,0
1959.916667,0
1960,0
1960.083333,0
1960.166667,0
1960.25,0
1960.333333,0
1960.416667,0
1960.5,0
1960.583333,0
1960.666667,0
1960.75,0
1960.833333,0
1960.916667,0
1961,0
1961.083333,0
1961.166667,0
1961.25,0
1961.333333,0
1961.416667,0
1961.5,0
1961.583333,0
1961.666667,0
1961.75,0
1961.833333,0
1961.916667,0
1962,0
1962.083333,0
1962.166667,0
1962.25,0
1962.333333,0
1962.416667,0
1962.5,0
1962.583333,0
1962.666667,0
1962.75,0
1962.833333,0
1962.916667,0
1963,0
1963.083333,0
1963.166667,0
1963.25,0
1963.333333,0
1963.416667,0
1963.5,0
1963.583333,0
1963.666667,0
1963.75,0
1963.833333,0
1963.916667,0
1964,0
1964.083333,0
1964.166667,0
1964.25,0
1964.333333,0
1964.416667,0
1964.5,0
1964.583333,0
1964.666667,0
1964.75,0
1964.833333,0
1964.916667,0
1965,0
1965.083333,0
1965.166667,0
1965.25,0
1965.333333,0
1965.416667,0
1965.5,0
1965.583333,0
1965.666667,0
1965.75,0
1965.833333,0
1965.916667,0
1966,0
1966.083333,0
1966.166667,0
1966.25,0
1966.333333,0
1966.416667,0
1966.5,0
1966.583333,0
1966.666667,0
1966.75,0
1966.833333,0
1966.916667,0
1967,0
1967.083333,0
1967.166667,0
1967.25,0
1967.333333,0
1967.416667,0
1967.5,0
1967.583333,0
1967.666667,0
1967.75,0
1967.833333,0
1967.916667,0
1968,0
1968.083333,0
1968.166667,0
1968.25,0
1968.333333,0
1968.416667,0
1968.5,0
1968.583333,0
1968.666667,0
1968.75,0
1968.833333,0
1968.916667,0
1969,0
1969.083333,0
1969.166667,0
1969.25,0
1969.333333,0
1969.416667,0
1969.5,0
1969.583333,0
1969.666667,0
1969.75,0
1969.833333,0
1969.916667,0
1970,0
1970.083333,0
1970.166667,0
1970.25,0
1970.333333,0
1970.416667,0
1970.5,0
1970.583333,0
1970.666667,0
1970.75,0
